"google-public-dns-a.google.com","8.8.8.8"
"75-146-52-3-Washington.hfc.comcastbusiness.net","75.146.52.3"
"server77-68-45-119.live-servers.net","77.68.45.119"
"60-248-153-180.HINET-IP.hinet.net","60.248.153.180"
"lstlambert-658-1-44-168.w193-251.abo.wanadoo.fr","193.251.92.168"
"pei-201-236-ccxxv-xx.une.net.co","201.236.225.20"
"www.kt-car.com.tw","203.66.179.134"
"","212.234.181.118"
"","59.29.6.51"
"","211.181.5.11"
"","207.69.188.248"
"","184.105.18.10"
"server-213.128.77.22.radore.net.tr","213.128.77.22"
"","213.234.9.198"
"195-54-183-56.net.tnm.se","195.54.183.56"
"192038192052.mbb.telenor.dk","192.38.192.52"
"ns1.all2find.com","69.60.134.50"
"","190.105.226.147"
"177.19.205.182.static.gvt.net.br","177.19.205.182"
"rrcs-74-143-112-211.central.biz.rr.com","74.143.112.211"
"","193.48.42.94"
"","37.152.163.233"
"","212.143.2.223"
"195-67-67-98.customer.telia.com","195.67.67.98"
"","69.9.191.4"
"61-220-49-194.HINET-IP.hinet.net","61.220.49.194"
"","118.223.132.192"
"h2270481.stratoserver.net","85.214.102.25"
"ns.sunfashion.co.jp","210.226.58.10"
"243.32.60.108.belairinternet.com","108.60.32.243"
"","112.161.130.250"
"mail.signatureorthotics.com","24.142.152.238"
"","61.38.255.11"
"ns3.iranet.ir","194.225.152.10"
"","86.58.175.11"
"","178.161.206.255"
"","60.196.0.1"
"","89.39.64.109"
"s15353748.onlinehome-server.info","87.106.62.128"
"60-249-2-210.HINET-IP.hinet.net","60.249.2.210"
"","194.181.152.10"
"r190-64-66-218.su-static.adinet.com.uy","190.64.66.218"
"exchange.franticllc.com","208.89.96.11"
"exchange.hawkinspersonnel.com","96.43.24.204"
"","62.168.58.181"
"h3.chronoresto.com","213.218.152.146"
"","211.188.11.201"
"mail.doji.vn","210.245.95.9"
"mail.viethacorp.vn","210.245.95.15"
"vumk.com","194.50.9.51"
"host-62-245-182-158.asamnet.de","62.245.182.158"
"","213.42.43.226"
"125-227-220-23.HINET-IP.hinet.net","125.227.220.23"
"bzq-219-183-18.dsl.bezeqint.net","62.219.183.18"
"37-128-98-84.static.ip.netia.com.pl","37.128.98.84"
"rmss.com.au","125.7.116.247"
"pb6abe991.osakff01.ap.so-net.ne.jp","182.171.233.145"
"118-163-48-204.HINET-IP.hinet.net","118.163.48.204"
"","211.39.147.172"
"ns.btko.net","59.125.53.127"
"","202.89.125.8"
"","85.249.3.246"
"static.customer-201-144-240-90.uninet-ide.com.mx","201.144.240.90"
"","93.90.41.235"
"powerapp2.plexicomm.net","204.80.232.4"
"ip-94.124.0.90.s.net.pl","94.124.0.90"
"sutrans2.sutrans.rs","93.87.72.62"
"","186.113.29.66"
"vs51626a.qualityserver.de","81.20.87.84"
"server213-171-207-4.live-servers.net","213.171.207.4"
"125-227-219-101.HINET-IP.hinet.net","125.227.219.101"
"ns.parkano.fi","62.106.59.147"
"","46.209.59.67"
"201-54-248-13-corp-bre.linktel.net.br","201.54.248.13"
"","185.11.70.171"
"237.57.pppoe.mari-el.ru","77.40.57.237"
"customer-CLN-177-186.megared.net.mx","200.52.177.186"
"rrcs-50-75-33-22.nys.biz.rr.com","50.75.33.22"
"mail2.triangulodosol.com.br","177.69.23.253"
"","91.226.220.254"
"124-11-165-222.dynamic.tfn.net.tw","124.11.165.222"
"","203.231.29.131"
"","202.0.149.3"
"","14.53.45.85"
"","58.184.164.13"
"ns2.itwsfk.co.kr","218.150.180.232"
"","75.103.99.112"
"ns2.multivix.com.br","192.146.229.22"
"213-16-61-132.ip.btc-net.bg","213.16.61.132"
"","119.160.210.158"
"115-64-12-63.static.tpgi.com.au","115.64.12.63"
"","210.176.127.113"
"","121.166.157.11"
"dns1.yuuai.or.jp","210.251.126.200"
"","46.252.40.2"
"","201.251.237.129"
"095-097-151-066.static.chello.nl","95.97.151.66"
"","211.54.242.100"
"nsx10.fibertel.com.ar","200.49.159.70"
"","64.77.63.36"
"37.176.87.109.triolan.net","109.87.176.37"
"ns1.mynetkeepers.ca","209.29.150.135"
"","195.211.101.223"
"","61.85.1.206"
"xenopol-fo.b.astral.ro","193.226.105.107"
"","142.77.2.85"
"ns1.uitc.com.sg","118.201.36.130"
"","124.6.63.103"
"","209.220.111.17"
"","128.134.180.196"
"ns.bti.com.bh","89.148.14.227"
"210-59-176-206.HINET-IP.hinet.net","210.59.176.206"
"55.206.224.159.triolan.net","159.224.206.55"
"","202.168.235.1"
"","197.15.216.233"
"","194.228.104.186"
"costacavalcanti85.static.gvt.net.br","201.47.62.85"
"host43.200-45-184.telecom.net.ar","200.45.184.43"
"rrcs-98-102-32-246.central.biz.rr.com","98.102.32.246"
"intern.htl-klu.at","193.36.189.34"
"","91.121.222.83"
"","162.247.147.98"
"60-250-37-202.HINET-IP.hinet.net","60.250.37.202"
"","184.105.245.165"
"mcjack.lnk.telstra.net","110.143.180.124"
"61-220-189-20.HINET-IP.hinet.net","61.220.189.20"
"tw132-static26.tw1.com","119.63.132.26"
"wsd.rabian.fr","176.31.71.200"
"91-200-227-141.client.linkline.ru","91.200.227.141"
"alpha.vsc-g.co.jp","219.118.166.50"
"ficus.ulima.edu.pe","200.11.52.202"
"","199.27.185.142"
"tam.co.ir","92.50.61.11"
"","217.65.214.149"
"ns.agentsoft.co.kr","119.205.210.130"
"","211.216.3.2"
"202-151-80-211.dsl.static.teleguam.net","202.151.80.211"
"","222.122.43.43"
"","91.233.221.54"
"realidadfutura.com","5.196.123.129"
"burak.inwarz.skierniewice.pl","212.191.5.131"
"","203.242.43.1"
"helen.bdn.odessa.ua","195.138.69.67"
"84-18-151-121.ip.bkom.it","84.18.151.121"
"","210.92.198.253"
"187-85-84-178.city10.com.br","187.85.84.178"
"c3b08-216.milare-tv.ne.jp","202.172.72.216"
"","175.145.3.189"
"mail.yuan-tuo.com.tw","60.250.74.200"
"host-210.1.242-10.radiantbd.com","210.1.242.10"
"201.221.6.200.static.intelnet.net.gt","200.6.221.201"
"","119.205.210.61"
"201.160.15.167.cable.dyn.cableonline.com.mx","201.160.15.167"
"vs53171a.qualityserver.de","81.20.87.181"
"","84.22.52.218"
"ns2.realidadfutura.net","5.196.123.133"
"a88-157-200-129.static.cpe.netcabo.pt","88.157.200.129"
"customer-CLN-177-190.megared.net.mx","200.52.177.190"
"","31.222.195.168"
"mail.solchem.cl","200.111.71.66"
"","119.207.87.178"
"21.255.209.181.static.intelnet.net.gt","181.209.255.21"
"kvm.itech-service.ru","31.186.102.210"
"","84.232.0.166"
"business-78-139-63-213.business.broadband.hu","78.139.63.213"
"","213.146.201.214"
"ec2-54-187-61-200.us-west-2.compute.amazonaws.com","54.187.61.200"
"office.telko.ru","194.8.128.12"
"","168.212.249.25"
"pc1.csksw-fukui-unet.ocn.ne.jp","114.160.78.65"
"correo.maypo.com","148.244.127.67"
"","220.66.90.2"
"it.onu.edu.ua","91.208.138.37"
"","91.228.138.15"
"emailsrvr.greenpowerintl.com","182.18.181.109"
"","194.59.188.11"
"bzq-82-80-207-94.red.bezeqint.net","82.80.207.94"
"mail.tahhsin.com.tw","61.218.140.187"
"","190.196.64.219"
"","115.127.12.49"
"laubervilliers-656-1-210-37.w217-128.abo.wanadoo.fr","217.128.9.37"
"dns1.tarp.dk","77.233.228.11"
"ns.ja-sodeura.or.jp","219.163.121.186"
"203080116234.ctinets.com","203.80.116.234"
"89-96-198-62.ip13.fastwebnet.it","89.96.198.62"
"lan-84-240-34-163.vln.penki.lt","84.240.34.163"
"mail.belmag.ru","80.244.39.194"
"147-226-71-201.vipway.net.br","201.71.226.147"
"211-9-57-17.cust.bit-drive.ne.jp","211.9.57.17"
"bzq-82-80-207-92.red.bezeqint.net","82.80.207.92"
"ns2.fr.pl","91.224.61.250"
"suplenciaindustrial.com","186.15.32.106"
"www.azimut-r.net","95.129.57.2"
"","89.144.187.66"
"","211.107.234.129"
"ns1.itwsfk.co.kr","218.150.180.231"
"kl.kraevid.com.ua","31.3.193.62"
"","203.228.45.242"
"dns1.sateltrack.net","148.244.127.104"
"","61.194.65.90"
"mvx-179-191-86-162.mundivox.com","179.191.86.162"
"mail.petrolinvest.ba","80.65.76.28"
"integral.soborka.net","94.158.153.236"
"","220.226.177.50"
"host-213-14-116-35.reverse.superonline.net","213.14.116.35"
"","211.127.166.242"
"","212.158.160.47"
"pu1.plovdiv.spnet.net","212.91.164.202"
"ad.health-click.com.tw","210.61.241.229"
"60-249-37-54.HINET-IP.hinet.net","60.249.37.54"
"cweb003.jtech.info","209.12.23.10"
"","116.12.183.45"
"mail.alcedoltd.ro","81.12.222.219"
"host-204-34.orbita.od.ua","195.66.204.34"
"NS2.Multacom.COM","204.13.152.3"
"ns2.greenleafnursery.com","216.61.230.7"
"","121.121.29.29"
"ool-60388988.static.optonline.net","96.56.137.136"
"dns.sac.gov.tw","120.127.244.194"
"79.99.122.169","79.99.122.169"
"253.209.6.200.static.intelnet.net.gt","200.6.209.253"
"114-33-126-45.HINET-IP.hinet.net","114.33.126.45"
"p25077-ipngnfx01osakakita.osaka.ocn.ne.jp","180.43.89.77"
"static.224.25.202.85.in-addr.arpa.ka-net.dk","85.202.25.224"
"","211.118.55.2"
"server109-228-22-125.live-servers.net","109.228.22.125"
"","75.103.118.59"
"","210.216.54.156"
"ocean.kmi.re.kr","118.129.184.9"
"MSN-poll-net249-173.kursknet.ru","80.240.249.173"
"67-206-70-30.static.cimcoisp.net","67.206.70.30"
"","61.43.142.180"
"","202.29.172.148"
"dns2.directcom.com","208.98.188.82"
"","213.191.151.178"
"ppp-0007.eol.co.nz","202.49.165.9"
"82-160-250-145.tktelekom.pl","82.160.250.145"
"kindaics.co.jp","36.3.108.82"
"79.99.122.153","79.99.122.153"
"anymidrdns202.dns.tds.net","64.50.228.103"
"","200.170.208.26"
"","59.24.119.201"
"","213.108.175.170"
"ns1.pentain.co.jp","219.118.168.218"
"","217.25.228.98"
"ip91.217.62.219.ipblk.stnsk.ru","91.217.62.219"
"","216.130.239.25"
"","219.96.229.138"
"","89.144.187.68"
"","118.46.127.8"
"62.43.188.18.static.user.ono.com","62.43.188.18"
"ordinace.panoch.net","89.22.65.14"
"109.168.100.173.host.static.ip.secure-od.com","109.168.100.173"
"","216.33.62.8"
"","78.9.110.29"
"server109-228-22-165.live-servers.net","109.228.22.165"
"wolficom.ch","62.202.3.102"
"91.250.41.202.format-tv.net","91.250.41.202"
"","14.51.21.76"
"","95.167.142.230"
"","216.167.205.62"
"","216.172.109.167"
"79.99.122.161","79.99.122.161"
"66-207-202-84.beanfield.net","66.207.202.84"
"router.ctech.cz","212.24.151.178"
"91-185-40-229-cheremhovo.dsi.ru","91.185.40.229"
"","75.103.99.113"
"","124.82.213.221"
"ns0.swisp.co.uk","81.17.66.13"
"61-219-65-4.HINET-IP.hinet.net","61.219.65.4"
"","201.7.225.2"
"","65.112.68.4"
"ns1.qvc.de","217.5.159.227"
"190-82-116-2.static.tie.cl","190.82.116.2"
"ip-56-3.sn1.clouditalia.com","62.94.56.3"
"any-in-2228.1e100.net","216.239.34.40"
"66-212-195-219.static.mnt.ct.atlanticbb.net","66.212.195.219"
"2580D7C7.rev.sefiber.dk","37.128.215.199"
"84.124.52.46.static.user.ono.com","84.124.52.46"
"remote.shortstool.com","24.144.192.42"
"","202.253.138.1"
"125.214.86.242.speedweb.com.au","125.214.86.242"
"","134.0.34.18"
"","195.130.67.230"
"79.99.122.185","79.99.122.185"
"","124.54.181.164"
"ns1.skyweb.net","66.6.128.111"
"lneuilly-656-1-11-106.w80-11.abo.wanadoo.fr","80.11.116.106"
"","168.243.36.89"
"","27.255.70.92"
"dylan.ikko-j.co.jp","220.110.210.114"
"","193.179.112.4"
"static-adsl190-29-14-84.une.net.co","190.29.14.84"
"mail.digent.com","121.126.225.60"
"","134.153.233.140"
"100.237.13.217.in-addr.dgcsystems.net","217.13.237.100"
"","218.151.134.214"
"ppp24910786193.ambra.ro","86.107.249.193"
"","222.231.63.93"
"145.255.149.190.static.intelnet.net.gt","190.149.255.145"
"24-216-27-154.static.sffl.va.charter.com","24.216.27.154"
"","62.105.17.246"
"","193.178.187.207"
"97.ip-5-196-6.eu","5.196.6.97"
"220-130-129-235.HINET-IP.hinet.net","220.130.129.235"
"mailhub3.dns-servicios.com","82.194.66.211"
"79.99.122.149","79.99.122.149"
"211-75-203-156.HINET-IP.hinet.net","211.75.203.156"
"mail.ngsnet.net","89.165.2.25"
"ns1.s-t.ru","109.195.23.7"
"server109-228-23-49.live-servers.net","109.228.23.49"
"","218.50.4.165"
"cpe-191634.ip.primehome.com","62.152.17.248"
"","121.170.167.238"
"","220.90.210.182"
"","78.38.114.5"
"","112.216.10.18"
"","31.210.57.233"
"ks396890.kimsufi.com","176.31.127.144"
"","151.237.192.49"
"ppp91-122-63-249.pppoe.avangarddsl.ru","91.122.63.249"
"","95.83.244.117"
"","59.14.131.209"
"","168.99.166.202"
"rpc.megasuper.com","201.206.131.117"
"kaz-net.co.jp","219.166.58.234"
"","118.42.126.217"
"i118-21-162-12.s30.a048.ap.plala.or.jp","118.21.162.12"
"59-124-210-90.HINET-IP.hinet.net","59.124.210.90"
"adsl-89-165-2-65.sabanet.ir","89.165.2.65"
"","82.150.35.113"
"ns1.axiatp.net","198.91.76.76"
"","219.166.212.58"
"","188.123.110.135"
"mail.durihome.com","220.73.130.73"
"","14.32.203.167"
"","195.77.203.194"
"","14.55.179.6"
"220-128-209-158.HINET-IP.hinet.net","220.128.209.158"
"Net1.nw.com.au","203.18.240.2"
"postur.tinna.is","212.30.220.133"
"server109-228-22-126.live-servers.net","109.228.22.126"
"","183.104.63.206"
"220-130-209-242.HINET-IP.hinet.net","220.130.209.242"
"176-241-128-113-static.retail.datagroup.ua","176.241.128.113"
"220-128-129-125.HINET-IP.hinet.net","220.128.129.125"
"61-111-20-75.kidc.net","61.111.20.75"
"griffin.accuratenetworks.com","216.18.240.68"
"correo.crecer.bo","200.87.146.151"
"static.vnpt.vn","203.162.235.25"
"caprica.web-puls.de","194.116.187.104"
"provisioning-glashelder.plinq.nl","193.239.186.71"
"static-ip-177-72-134-202.rev.dyxnet.com","202.134.72.177"
"","212.24.151.182"
"213.195.214.123.ptcomp.cz","213.195.214.123"
"187-032-007-196.static.ctbctelecom.com.br","187.32.7.196"
"","203.126.238.211"
"","175.143.44.101"
"","89.144.187.65"
"ns1.mkrovlya.ru","212.32.220.134"
"dns.feedback.com.tw","60.250.184.23"
"pd134-092.valley.ne.jp","221.121.181.92"
"","210.92.198.252"
"85-206-130-35.static.zebra.lt","85.206.130.35"
"","188.227.30.46"
"201-28-69-242.customer.tdatabrasil.net.br","201.28.69.242"
"Wimax-Cali-190-0-14-18.orbitel.net.co","190.0.14.18"
"","212.200.74.138"
"static-182.18.176-33.ctrls.in","182.18.176.33"
"lmontsouris-657-1-131-45.w82-127.abo.wanadoo.fr","82.127.169.45"
"","216.33.62.7"
"cpeit_goa000133.ia.colt.net","62.152.121.98"
"p5093982b.dip0.t-ipconnect.de","80.147.152.43"
"static-ip-165-95-56-61.rev.dyxnet.com","61.56.95.165"
"","218.234.33.10"
"correo.ferreteriaprat.cl","164.77.129.37"
"","81.162.111.11"
"eocdns01.ci.long-beach.ca.us","204.108.18.111"
"67-206-70-29.static.cimcoisp.net","67.206.70.29"
"ncisrvdns01.nciconnect.com","216.95.206.10"
"91-231-164-16.waveconn.it","91.231.164.16"
"","121.125.71.40"
"m81-21-249-157.cust.tele2.ee","81.21.249.157"
"79.99.122.165","79.99.122.165"
"","61.83.152.140"
"104-55-252-1.lightspeed.miamfl.sbcglobal.net","104.55.252.1"
"","85.175.194.48"
"109x195x163x233.static-customer.ryazan.ertelecom.ru","109.195.163.233"
"ns2.mynetkeepers.ca","209.29.150.136"
"ex.manpower.bg","212.91.171.146"
"","86.43.81.177"
"37-128-169-249.bp-lan.es","37.128.169.249"
"","87.229.187.110"
"dns2.poyry.se","194.132.22.153"
"","103.25.205.8"
"","37.235.42.194"
"fibertec.us","75.75.206.24"
"video.assimoco.it","178.33.199.36"
"219-84-192-250.STATIC.so-net.net.tw","219.84.192.250"
"79.161.49.34.static.lyse.net","79.161.49.34"
"","221.162.19.157"
"","92.244.36.75"
"h195-91-137-253.ln.rinet.ru","195.91.137.253"
"adsl-66-137-187-170.dsl.spfdmo.swbell.net","66.137.187.170"
"","78.9.110.22"
"74-94-98-70-homewood.il.chicago.hfc.comcastbusiness.net","74.94.98.60"
"","62.32.27.24"
"","222.236.47.87"
"","178.33.180.163"
"ns.ieg.co.jp","220.110.159.242"
"lneuilly-656-1-11-130.w80-11.abo.wanadoo.fr","80.11.116.130"
"","115.93.227.58"
"pegasus.michwave.com","216.18.240.22"
"","87.98.165.97"
"","210.98.146.2"
"","211.195.80.131"
"southerncontrols.com","24.181.107.227"
"ns1.wpe.com","216.230.160.2"
"l37-193-226-251.novotelecom.ru","37.193.226.251"
"sv1.library-kanegasaki.jp","114.160.65.82"
"85-132-195-98-static.vivo.cz","85.132.195.98"
"","77.52.179.140"
"61-111-20-25.kidc.net","61.111.20.25"
"213.195.214.28.ptcomp.cz","213.195.214.28"
"","77.108.112.4"
"cfsauer.com","216.48.62.10"
"m121-202-130-66.smartone.com","121.202.130.66"
"219.165.pool.szemernet.hu","91.83.165.219"
"sesp.icoe.org","205.154.84.8"
"","62.122.67.5"
"extranet-actecom.com","87.98.165.2"
"cvidns2.centuryfurniture.com","184.0.147.3"
"cache351.ns.uu.net","203.2.193.68"
"lmontsouris-657-1-131-46.w82-127.abo.wanadoo.fr","82.127.169.46"
"","203.113.28.150"
"lmontsouris-657-1-131-43.w82-127.abo.wanadoo.fr","82.127.169.43"
"LTFTP1.cptt.com.tw","219.87.155.233"
"pppoe254.net178-74-102.omkc.ru","178.74.102.254"
"www.colegiolaanunciacion.edu.co","190.0.59.102"
"201.255.149.190.static.intelnet.net.gt","190.149.255.201"
"171.25.229.166.static.ipworks.be","171.25.229.166"
"","187.111.34.79"
"smtp.fa-hakodate.jp","60.32.164.58"
"pegasus.habo.net","80.244.198.7"
"lputeaux-657-1-199-69.w80-14.abo.wanadoo.fr","80.14.116.69"
"61-111-20-67.kidc.net","61.111.20.67"
"mail.grand.co.kr","218.157.134.33"
"61-111-20-63.kidc.net","61.111.20.63"
"","84.232.51.1"
"","115.124.87.241"
"","185.38.9.99"
"host-85-237-50-248.dsl.sura.ru","85.237.50.248"
"61-111-20-66.kidc.net","61.111.20.66"
"imksus.grf.rs","147.91.20.67"
"sib-net.ru","82.200.10.101"
"ns.minagawa.machida.tokyo.jp","219.163.58.154"
"","95.38.61.50"
"southerncontrols.com","24.181.107.226"
"labva.ru","46.183.183.74"
"dmzdns02.dip-alicante.es","195.53.69.133"
"","199.27.185.152"
"","217.17.108.38"
"","58.65.246.41"
"36.3.117.13.ap.gmobb-fix.jp","36.3.117.13"
"","200.23.132.8"
"","62.176.17.232"
"host195.200.110.130.ifxnw.com.ar","200.110.130.195"
"","203.228.190.141"
"lputeaux-656-1-273-27.w82-127.abo.wanadoo.fr","82.127.133.27"
"oneshotwebdesign.com","75.103.119.218"
"mail.6016.com","61.67.153.10"
"","1.209.8.32"
"","200.162.5.5"
"ns2.qicomm.com","81.24.196.76"
"","217.219.187.3"
"61-111-20-65.kidc.net","61.111.20.65"
"79.99.122.129","79.99.122.129"
"","206.72.64.70"
"","59.5.101.244"
"","192.115.8.13"
"cable190-248-156-90.une.net.co","190.248.156.90"
"","8.24.82.3"
"210-59-205-218.HINET-IP.hinet.net","210.59.205.218"
"","124.240.199.23"
"59-120-119-169.HINET-IP.hinet.net","59.120.119.169"
"194-79-23-133.ukrcom.kherson.ua","194.79.23.133"
"61-111-20-71.kidc.net","61.111.20.71"
"host217-40-58-254.in-addr.btopenworld.com","217.40.58.254"
"southerncontrols.com","24.181.107.231"
"","194.74.187.10"
"mail.longmay.com.tw","203.69.23.8"
"dns3.nexica.com","217.13.116.4"
"","83.240.211.233"
"","112.169.82.190"
"59-125-5-222.HINET-IP.hinet.net","59.125.5.222"
"","194.236.216.131"
"","212.0.101.103"
"68-67-68-84.static.as19844.net","68.67.68.84"
"net-93-159-159-114.connected.pl","93.159.159.114"
"Wimax-Cali-190-0-30-123.orbitel.net.co","190.0.30.123"
"","78.9.110.5"
"61-111-20-39.kidc.net","61.111.20.39"
"ns.ggr.net","46.18.217.110"
"203-151-27-229.inter.net.th","203.151.27.229"
"5f44f4fe.static.mv.ru","95.68.244.254"
"178.239.224.179.vidin.net","178.239.224.179"
"str22.ru","80.71.178.68"
"","218.38.243.95"
"unspecified.mtw.ru","37.228.89.56"
"241.169.86.109.triolan.net","109.86.169.241"
"gonex03.sartorius.com","194.173.186.166"
"","75.103.119.209"
"211-75-185-151.HINET-IP.hinet.net","211.75.185.151"
"","211.35.230.183"
"194-247-190-70.wlc-net.ru","194.247.190.70"
"dmzdc01.dip-alicante.es","195.53.69.132"
"nagios.fwd.com.tw","220.130.145.66"
"D57E415E.static.ziggozakelijk.nl","213.126.65.94"
"Wimax-Cali-190-0-30-122.orbitel.net.co","190.0.30.122"
"host-37-49-218-38.bbcustomer.zsttk.net","37.49.218.38"
"177.255.149.190.static.intelnet.net.gt","190.149.255.177"
"ip189.pcsource.org","199.16.220.189"
"24-181-107-228.static.leds.al.charter.com","24.181.107.228"
"2-228-108-227.ip191.fastwebnet.it","2.228.108.227"
"ip-78-31-167-240.fibernet.net.pl","78.31.167.240"
"","212.243.144.67"
"www.van-tec.jp","210.196.145.114"
"200-169-10-154.centurytelecom.net.br","200.169.10.154"
"","186.67.162.218"
"facderecho.der.umss.edu.bo","167.157.34.2"
"ns.uil-sipo.si","193.2.246.9"
"nserv2.equivoice.com","66.252.64.254"
"dc-01-prl.prelouc-net.cz","62.77.68.2"
"aerotec-co.ru","213.87.101.171"
"joburi-absolventi.edu.ro","193.231.32.251"
"61-111-20-44.kidc.net","61.111.20.44"
"","210.91.6.46"
"178.239.224.161.vidin.net","178.239.224.161"
"","211.126.202.126"
"","1.9.214.100"
"","60.54.129.201"
"ns1.tier1net.net","216.38.65.1"
"67-206-70-26.static.cimcoisp.net","67.206.70.26"
"lputeaux-656-1-237-253.w217-128.abo.wanadoo.fr","217.128.226.253"
"","62.146.25.130"
"67-206-70-27.static.cimcoisp.net","67.206.70.27"
"","116.12.171.217"
"D8FF7f4d.cst.lightpath.net","216.255.127.77"
"61-111-20-40.kidc.net","61.111.20.40"
"","207.253.126.4"
"mail1.eccaves.com.tw","220.130.170.176"
"sd3250.sivit.org","194.242.114.213"
"85-18-246-73.ip.fastwebnet.it","85.18.246.73"
"","94.200.59.205"
"","213.155.100.160"
"","58.229.127.21"
"Wimax-Cali-190-0-7-242.orbitel.net.co","190.0.7.242"
"","141.101.253.8"
"arx77-196.araxinfo.com","87.255.77.196"
"209-216-221-213-static.cable.fcom.ch","213.221.216.209"
"","203.62.223.27"
"","61.250.157.2"
"","212.154.175.202"
"ns4.cordialfinaciera.com.ar","190.220.7.51"
"stroyinf.ru","195.112.102.122"
"dc-01-prl.prelouc-net.cz","62.77.68.3"
"","203.158.27.134"
"","59.152.205.217"
"","84.242.136.178"
"business.org.br","200.248.178.54"
"ip16.ip-5-39-118.eu","5.39.118.16"
"red.inaker.ad.jp","210.134.0.130"
"","220.71.146.5"
"","61.34.161.37"
"","58.125.240.54"
"084.92.103.218.static.netvigator.com","218.103.92.84"
"dim.meiho.edu.tw","210.60.147.4"
"helm0.cyberprog.net","193.26.23.52"
"","220.110.160.2"
"93-62-200-35.ip24.fastwebnet.it","93.62.200.35"
"123202218236.ctinets.com","123.202.218.236"
"","203.232.166.2"
"","202.68.241.244"
"","217.6.175.122"
"61-111-20-28.kidc.net","61.111.20.28"
"www.my-t.co.il","62.219.21.58"
"ns1.nongshim.co.kr","203.249.171.2"
"wiki.allmaverick.com","107.6.8.121"
"","156.154.70.33"
"simapag.gob.mx","187.174.176.230"
"","213.42.52.22"
"ms.forjobprotect.cz","217.112.174.24"
"","212.16.81.15"
"","116.127.122.11"
"","217.219.173.2"
"","27.54.120.139"
"server109-228-0-226.live-servers.net","109.228.0.226"
"lydia.elke.uoc.gr","147.52.98.3"
"61-111-20-37.kidc.net","61.111.20.37"
"mail.admin-gorlovka.ru","193.238.75.217"
"domaini.infini.jp","221.186.19.122"
"mail.bright-printing.com","59.125.5.220"
"mail.vnovgorod.net","81.9.21.142"
"ip5.subnet87.netfactor.net.tr","31.169.87.5"
"217-152-231-46.rev.kosakowo.net","46.231.152.217"
"cable-89-216-120-7.static.sbb.rs","89.216.120.7"
"eocdns02.ci.long-beach.ca.us","204.108.18.112"
"","201.187.105.165"
"173-233-86-183.static.as40244.net","173.233.86.183"
"74-95-253-101-Houston.hfc.comcastbusiness.net","74.95.253.101"
"","41.224.255.57"
"61-111-20-129.kidc.net","61.111.20.129"
"ip-46.114.255.149.in-addr.arpa","149.255.114.46"
"mxbr01.sbadv.com.br","187.6.84.178"
"","204.50.158.125"
"sr051.ftls.net","91.121.134.117"
"trufer139.static.host.gvt.net.br","177.43.56.139"
"61-219-150-137.HINET-IP.hinet.net","61.219.150.137"
"mx.350-350.ru","217.170.125.26"
"master.speak-up.com.ua","62.244.61.141"
"058177253182.ctinets.com","58.177.253.182"
"ns.bluesoft.co.uk","217.199.173.113"
"host46-65-static.120-81-b.business.telecomitalia.it","81.120.65.46"
"207.243-pool.nikopol.net","213.111.243.207"
"","123.49.33.229"
"imagedj.com","211.22.104.62"
"carbon.biznetis.net","205.251.182.194"
"","194.60.242.229"
"doprtr.intech.ru","93.178.104.210"
"ASM-AMERICA.bear1.Phoenix1.Level3.net","4.31.188.18"
"61-111-20-38.kidc.net","61.111.20.38"
"mail.adsnt.es","213.99.51.66"
"ip6.subnet87.netfactor.net.tr","31.169.87.6"
"","218.45.209.67"
"","185.17.252.95"
"ins.intranet.cz","217.69.98.220"
"","200.223.129.162"
"ns2.leomax.ru","212.193.175.26"
"146-185-60-36.cust.spot.net.il","146.185.60.36"
"vm-188-dc2.rsaweb.co.za","41.74.181.42"
"","210.161.230.129"
"","203.232.27.11"
"voip1.tucson.getsprocket.net","199.188.137.19"
"","210.48.152.55"
"","156.154.70.40"
"mail.judma.com","115.178.62.147"
"www50.pxia.de","37.59.218.50"
"61-111-20-140.kidc.net","61.111.20.140"
"59-120-119-171.HINET-IP.hinet.net","59.120.119.171"
"","92.39.78.210"
"59-126-184-117.HINET-IP.hinet.net","59.126.184.117"
"","58.185.140.148"
"","168.187.78.66"
"","203.253.190.1"
"50-200-193-97-static.hfc.comcastbusiness.net","50.200.193.97"
"ns2.novelent.com","210.177.230.51"
"60-249-85-211.HINET-IP.hinet.net","60.249.85.211"
"","202.130.119.158"
"","112.160.254.90"
"nsne.wist.com.pl","213.25.159.2"
"ackosinski.de","37.187.216.61"
"D57D6BB3.static.ziggozakelijk.nl","213.125.107.179"
"","212.184.191.193"
"","216.224.163.87"
"host196.190-105-213.sitsanetworks.net","190.105.213.196"
"","201.131.8.8"
"ds2.thaimonster.net","122.155.166.22"
"","77.75.129.237"
"246.162.46.186.static.anycast.cnt-grms.ec","186.46.162.246"
"ns.cite.cz","217.69.98.210"
"","210.68.106.116"
"mvx-200-196-51-210.mundivox.com","200.196.51.210"
"aa2010060325d312fea2.userreverse.dion.ne.jp","211.18.254.162"
"mail.nahalal.org.il","82.80.70.85"
"unassigned.psychz.net","192.210.50.26"
"","94.187.60.165"
"","38.99.244.144"
"","156.154.70.26"
"61-111-20-30.kidc.net","61.111.20.30"
"h216-165-128-161.216-165.unk.tds.net","216.165.128.161"
"","121.157.169.176"
"181.213.149.190.static.intelnet.net.gt","190.149.213.181"
"hc9win.asianetweb.com","202.88.241.29"
